key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate	height_map_mesh	ground_type	can_burn	audio_count_as_urban	ability_radius	shares_reload_between_emitters	togleable_icon_path	audio_construction_type_switch	audio_faction_switch	tower_group	destructible
blk_platform_corner_90	generic	blk_platform_corner_90	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_platform_straight_01	generic	blk_platform_straight_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_platform_tunnel	generic	blk_platform_tunnel	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_tower_17m_01	generic	blk_tower_17m_01	rock	2000	wh3_settlement_tower_brt_arrow	arrow_tower	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_triangle10x10_01	generic	blk_triangle10x10_01	rock	15			100		true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
blk_watch_tower_01	fort_tower	blk_watch_tower_01	wood	1000	wh3_settlement_tower_siege_prototype_watchsettlement_tower_arrow	watchtower	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_alpha_bunting_short_01	incidental	brt_alpha_bunting_short_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_blockout_tower_40m	generic	brt_blockout_tower_40m	rock	1000			100		true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_bridge_32m_01	bridge	brt_bridge_32m_01	rock	15		bridge	100	bridge.png	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_bridge_edge_01	generic	brt_bridge_edge_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_bridge_edge_02	generic	brt_bridge_edge_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_bridgebay_03	generic	brt_bridgebay_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_grapevines_01	fort_wall	brt_grapevines_01	rock	1000		fort_wall	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_grapevines_02	fort_wall	brt_grapevines_02	rock	1000		fort_wall	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_grapevines_03	fort_wall	brt_grapevines_03	rock	1000		fort_wall	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_grapevines_04	fort_wall	brt_grapevines_04	rock	1000		fort_wall	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_junk_01	incidental	brt_prop_junk_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_junk_02	incidental	brt_prop_junk_02	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_junk_03	incidental	brt_prop_junk_03	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_lance_01	incidental	brt_prop_lance_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_lance_add_01	incidental	brt_prop_lance_add_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_masonry_02	incidental	brt_prop_masonry_02	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_masonry_03	incidental	brt_prop_masonry_03	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_water_wheel_02	incidental	brt_prop_water_wheel_02	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_prop_wood_01	incidental	brt_prop_wood_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_tower_free_01	generic	brt_tower_free_01	rock	1000			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_tower_placement_01	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_brt_arrow	tower_arrow	100	tower_arrow	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_arrow_01	tower	brt	light_armoured_units	default
brt_tower_placement_02	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_brt_arrow_improved	tower_arrow	100	tower_arrow	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_arrow_02	tower	brt	light_armoured_units	default
brt_tower_placement_03	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_brt_blessed_stone	tower_magic	100	tower_magic	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_magic_03	tower	brt	heavy_armoured_units	default
brt_tower_placement_04	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_brt_carcass	tower_explosive	100	tower_explosive	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_explosive_04	tower	brt	heavy_armoured_units	default
brt_wall_angled_joiner	unbreachable_fort_wall	brt_wall_angled_joiner	rock	10000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_angled_to_grid_joiner	fort_wall	brt_wall_angled_to_grid_joiner	rock	10000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_corner_90_exter	unbreachable_fort_wall	brt_wall_corner_90_exter	rock	10000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_corner_90_inter	unbreachable_fort_wall	brt_wall_corner_90_inter	rock	10000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_gatehouse_60	gate	brt_wall_gatehouse_60	rock	12000		gate	100	gate.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_gatehouse_60_02	gate	brt_wall_gatehouse_60	rock	14000		gate	100	gate.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_gatehouse_60_03	gate	brt_wall_gatehouse_60	rock	16000		gate	100	gate.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_grid_to_angled_joiner	fort_wall	brt_wall_grid_to_angled_joiner	rock	10000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_stepup_15m	generic	brt_wall_stepup_15m	rock	7500			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_straight_20	fort_wall	brt_wall_straight_20	rock	12000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_straight_20_02	fort_wall	brt_wall_straight_20	rock	14000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_straight_20_03	fort_wall	brt_wall_straight_20	rock	16000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_straight_20_stairs	fort_wall	brt_wall_straight_20_stairs	rock	12000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
brt_wall_straight_20m	fort_wall	brt_wall_straight_20m	rock	12000		fort_wall	100	wall.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_straight_20m_emplacment	unbreachable_fort_wall	brt_wall_straight_20m_emplacment	rock	12000		fort_bastion	100	wall.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
brt_wall_tower	fort_tower	brt_wall_tower	rock	12000	wh3_settlement_tower_brt_arrow	tower_arrow	100	tower.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	60.0000	false				default_value	default
brt_wall_tower_01	fort_tower	brt_wall_tower	rock	14000	wh3_settlement_tower_brt_arrow_improved	tower_arrow	100	tower.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	60.0000	false				default_value	default
brt_wall_tower_02	fort_tower	brt_wall_tower	rock	14000	wh3_settlement_tower_brt_blessed_stone	tower_catapult	100	tower.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	60.0000	false				default_value	default
brt_wall_tower_03	fort_tower	brt_wall_tower	rock	16000	wh3_settlement_tower_brt_carcass	tower_explosive	100	tower.tga	true	0	true		false	false	1.0000	false	wooden_floor	false	false	60.0000	false				default_value	default
bst_barrel_01	generic	bst_barrel_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_crate_01	incidental	bst_crate_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_heart_of_the_dark_chains_01	generic	bst_heart_of_the_dark_chains_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_heart_of_the_dark_herdstone	generic	bst_heart_of_the_dark_herdstone	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_planks_01	generic	bst_planks_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_shield_01	generic	bst_shield_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_shield_02	generic	bst_shield_02	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_skull_01	generic	bst_skull_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_skullpile_01	generic	bst_skullpile_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_stakes_01	generic	bst_stakes_01	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_stakes_02	generic	bst_stakes_02	rock	15			100		true	0	false		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_totem_a_02	generic	bst_totem_a_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_tower_placement_01	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_bst_arrow	tower_arrow	100	tower_arrow	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_arrow_01	tower	bst	light_armoured_units	default
bst_tower_placement_02	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_bst_arrow_improved	tower_arrow	100	tower_arrow	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_arrow_02	tower	bst	light_armoured_units	default
bst_tower_placement_03	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_bst_rock	tower_magic	100	tower_magic	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_magic_03	tower	bst	heavy_armoured_units	default
bst_tower_placement_04	fort_tower	glb_tower_wood_01	rock	6000	wh3_survival_tower_bst_rock_improved	tower_magic	100	tower_magic	true	0	true		false	false	1.0000	false	rock	false	false	80.0000	true	tower_magic_04	tower	bst	heavy_armoured_units	default
bst_tusk_01	generic	bst_tusk_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_tusk_02	generic	bst_tusk_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
bst_warhorn_02	generic	bst_warhorn_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	always_indestructible
bst_warhorn_03	generic	bst_warhorn_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	always_indestructible
chd_anvil_01a	generic	chd_anvil_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_barrel_stack_01a	generic	chd_barrel_stack_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_barrel_stack_01b	generic	chd_barrel_stack_01b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_boiler_01a	generic	chd_boiler_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_boiler_02a	generic	chd_boiler_02a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_boiler_03a	generic	chd_boiler_03a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_bridge_110m_01	bridge	chd_bridge_110m_01	rock	15		bridge	100	bridge.png	true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_large_01a	generic	chd_chimney_large_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_large_01b	generic	chd_chimney_large_01b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_large_02a_base	generic	chd_chimney_large_02a_base	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_large_02a_mid	generic	chd_chimney_large_02a_mid	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_large_02a_top	generic	chd_chimney_large_02a_top	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_med_01_base	generic	chd_chimney_med_01_base	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_med_01_mid	generic	chd_chimney_med_01_mid	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_med_01_top	generic	chd_chimney_med_01_top	rock	15		key_building	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_small_01a	generic	chd_chimney_small_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_small_01b	generic	chd_chimney_small_01b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_small_02a	generic	chd_chimney_small_02a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_chimney_small_02b	generic	chd_chimney_small_02b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_coalpile_01	generic	chd_coalpile_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_coalpile_02	generic	chd_coalpile_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_coalpile_03	generic	chd_coalpile_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_conveyor_belt_01a	generic	chd_conveyor_belt_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_crane_01	generic	chd_crane_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_crucible_01a	generic	chd_crucible_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_doorway_grate_01c	generic	chd_doorway_grate_01c	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_drill_console_01	generic	chd_drill_console_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_drill_console_lever_01	generic	chd_drill_console_lever_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_drill_support_02	generic	chd_drill_support_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_drill_support_03	generic	chd_drill_support_03	rock	15		key_building_chd_drill	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	-1.0000	false				default_value	default
chd_engine_gear_01	generic	chd_engine_gear_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_exhaust_port_01a	generic	chd_exhaust_port_01a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_exhaust_port_02a	generic	chd_exhaust_port_02a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_arch_large_01	generic	chd_factory_arch_large_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_arch_large_02	generic	chd_factory_arch_large_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_arch_large_03	generic	chd_factory_arch_large_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_arch_large_04	generic	chd_factory_arch_large_04	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_01	generic	chd_factory_base_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_02a	generic	chd_factory_base_02a	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_02b	generic	chd_factory_base_02b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_03	generic	chd_factory_base_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_04	generic	chd_factory_base_04	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_base_05	generic	chd_factory_base_05	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_brazier_01	generic	chd_factory_brazier_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_bridge_01	generic	chd_factory_bridge_01	rock	15		key_building	100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_bridge_support_01	generic	chd_factory_bridge_support_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_bridge_support_end_01	generic	chd_factory_bridge_support_end_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_bridge_support_end_02	generic	chd_factory_bridge_support_end_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_chimney_01	generic	chd_factory_chimney_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_chimney_02	generic	chd_factory_chimney_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_doorway_01	generic	chd_factory_doorway_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_doorway_02	generic	chd_factory_doorway_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_inset_01	generic	chd_factory_inset_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_inset_02	generic	chd_factory_inset_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_inset_03	generic	chd_factory_inset_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_merlon_row_01	generic	chd_factory_merlon_row_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_merlon_single_01	generic	chd_factory_merlon_single_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_01	generic	chd_factory_pillar_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_01_base	generic	chd_factory_pillar_01_base	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_01_mid	generic	chd_factory_pillar_01_mid	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_01_top	generic	chd_factory_pillar_01_top	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_02	generic	chd_factory_pillar_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_pillar_03	generic	chd_factory_pillar_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_ramp_01	generic	chd_factory_ramp_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_ramp_01_mirror	generic	chd_factory_ramp_01_mirror	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_spike_01	generic	chd_factory_spike_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_spikes_gate_02b	generic	chd_factory_spikes_gate_02b	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_spikes_gate_03	generic	chd_factory_spikes_gate_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_spikes_row_01	generic	chd_factory_spikes_row_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_spikes_row_03	generic	chd_factory_spikes_row_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_01	generic	chd_factory_stairs_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_01_left	generic	chd_factory_stairs_01_left	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_01_right	generic	chd_factory_stairs_01_right	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_02	generic	chd_factory_stairs_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_03	generic	chd_factory_stairs_03	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_03_left	generic	chd_factory_stairs_03_left	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_03_right	generic	chd_factory_stairs_03_right	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_divider_01	generic	chd_factory_stairs_divider_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_stairs_divider_02	generic	chd_factory_stairs_divider_02	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_statue_base_01	generic	chd_factory_statue_base_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
chd_factory_structure_01	generic	chd_factory_structure_01	rock	15			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
